Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-12-31,425.153,430.0,417.658,427.964,5367.83844918,2280512.13458,424.847386182
2015-12-30,433.915,434.501,422.391,425.154,6923.10308819,2966457.55971,428.486694756
2015-12-29,420.264,434.489,419.998,433.946,6502.83598751,2775274.99938,426.779178301
2015-12-28,421.803,428.599,416.446,420.0,6599.71089261,2791180.15964,422.924610647
2015-12-27,415.69,427.494,406.14,422.411,6101.53176864,2556193.06235,418.942842433
2015-12-26,450.91,451.5,401.157,415.69,15779.9264842,6661098.7108,422.124825325
2015-12-25,450.821,453.5,445.513,450.99,4726.07732858,2124037.89506,449.42935703
2015-12-24,440.651,456.34,440.405,450.822,8478.12634173,3820989.6554,450.68798239
2015-12-23,435.755,443.86,434.0,440.39,6538.14883886,2873000.01538,439.421017507
2015-12-22,436.586,443.144,432.403,435.537,5880.92205393,2571104.15479,437.194054132
2015-12-21,440.03,440.8,425.33,436.501,9419.55837608,4091870.6297,434.401536285
2015-12-20,455.551,457.932,430.0,440.045,8849.34481848,3934029.8738,444.556060872
2015-12-19,456.556,460.49,450.0,455.551,5675.42678101,2588388.59668,456.069419367
2015-12-18,449.88,458.787,446.888,456.539,7724.01337588,3500367.50698,453.179886755
2015-12-17,446.119,451.466,440.0,449.26,7186.17409825,3218869.68787,447.925369447
2015-12-16,458.9,459.4,435.561,446.337,11975.5048101,5375047.34004,448.836806906
2015-12-15,440.835,459.168,440.0,458.799,13410.414177,6049365.25596,451.094587841
2015-12-14,427.608,443.686,423.939,440.819,8176.20235984,3582218.16795,438.127386076
2015-12-13,428.525,435.0,416.25,427.361,7178.38670116,3083495.54485,429.552721694
2015-12-12,441.862,452.7,403.216,428.525,16934.9260142,7191567.73048,424.658940019
2015-12-11,412.796,445.002,407.176,441.472,17402.1169313,7456141.26366,428.461737909
2015-12-10,411.571,417.274,405.81,412.799,9108.23093734,3751905.56752,411.924729767
2015-12-09,413.559,422.0,400.0,411.9,16271.3879793,6723323.87165,413.199161634
2015-12-08,387.406,414.999,383.76,413.56,11150.4389571,4397578.61421,394.386143103
2015-12-07,381.575,390.802,379.2,387.464,8533.80702024,3300063.23987,386.704694873
2015-12-06,382.879,392.479,379.656,382.0,10894.8975208,4209004.33121,386.328033209
2015-12-05,357.78,384.996,357.72,382.879,13942.9878322,5165555.50549,370.476942794
2015-12-04,357.734,359.987,352.636,357.73,7287.61014894,2599298.33953,356.673626389
2015-12-03,355.052,365.0,351.758,357.762,7965.58047175,2855950.28793,358.53636757
2015-12-02,359.983,361.2,345.0,355.253,11085.6459128,3919824.40917,353.594588895
2015-12-01,373.83,376.0,353.0,359.998,11539.0411275,4176359.38927,361.932966796
2015-11-30,368.7,379.832,365.03,373.813,14381.5252094,5348117.10802,371.87412532
2015-11-29,353.302,370.591,353.0,368.7,6898.45028939,2481153.8523,359.668294794
2015-11-28,351.919,354.449,345.0,353.248,5899.57846354,2065061.26081,350.035392118
2015-11-27,342.359,358.902,339.461,351.96,13521.1118121,4726264.83683,349.547056669
2015-11-26,326.998,367.513,326.736,342.36,28876.2999826,9907816.6497,343.112402062
2015-11-25,317.976,328.743,315.0,326.998,8927.41175881,2877497.84751,322.321623025
2015-11-24,319.7,320.338,314.9,317.949,6000.76192516,1909157.30049,318.152482018
2015-11-23,321.001,322.0,317.0,319.693,5523.27946203,1768539.73992,320.197403024
2015-11-22,323.995,324.0,315.01,321.0,4676.45309697,1496150.43709,319.932736641
2015-11-21,319.13,327.0,317.5,323.995,3666.27937862,1184381.12369,323.047155272
2015-11-20,323.181,324.0,308.87,319.198,7488.9382878,2377250.16343,317.434871549
2015-11-19,331.418,332.537,320.43,323.242,7482.92032681,2439668.3903,326.031587101
2015-11-18,330.962,333.301,326.046,331.4,5749.32466769,1899530.12531,330.391869499
2015-11-17,326.29,334.0,325.488,331.025,8127.63798671,2682314.57947,330.023874569
2015-11-16,315.701,327.818,310.0,326.285,8221.82403924,2633535.45939,320.310365051
2015-11-15,330.129,330.5,311.684,315.638,7200.83611826,2305898.69303,320.226520248
2015-11-14,333.994,335.569,324.399,330.7,4848.46363304,1599720.01465,329.943696751
2015-11-13,334.078,338.0,324.005,333.408,7683.57169112,2546117.9909,331.371671047
2015-11-12,309.513,339.85,309.352,334.155,18317.632275,5966703.64443,325.735529289
2015-11-11,337.684,344.625,294.117,308.908,28316.8909239,8921200.92174,315.048744077
2015-11-10,372.201,375.0,327.957,338.0,17436.2762868,6184399.8483,354.685814021
2015-11-09,364.623,375.899,354.1,372.328,10942.683279,4008693.62842,366.335525412
2015-11-08,373.071,379.5,358.7,365.31,6241.55638163,2305443.57933,369.369983761
