Date,Average,Ask,Bid,Last,TotalVolume
2015-12-31,426.52,431.33,431.13,431.4,66915.8
2015-12-30,430.09,428.03,427.65,428.0,71380.42
2015-12-29,425.99,430.66,430.29,430.56,72047.25
2015-12-28,425.03,422.41,421.96,422.24,77031.82
2015-12-27,418.46,424.66,424.27,424.47,76363.56
2015-12-26,431.61,415.55,415.0,415.43,211478.47
2015-12-25,455.25,456.4,455.87,456.13,43465.03
2015-12-24,454.43,453.78,453.64,453.76,78876.65
2015-12-23,441.44,443.68,443.33,443.79,64093.9
2015-12-22,439.89,437.34,436.98,437.32,69593.35
2015-12-21,437.71,436.11,435.73,435.98,119521.2
2015-12-20,455.27,443.17,442.9,442.87,119008.97
2015-12-19,464.0,462.35,461.91,462.27,63401.04
2015-12-18,460.73,464.48,463.91,464.2,82317.55
2015-12-17,455.55,457.02,456.66,456.63,67726.34
2015-12-16,457.64,454.22,453.99,454.03,186908.79
2015-12-15,456.75,463.87,463.47,463.69,121020.71
2015-12-14,441.46,443.46,443.25,443.38,246514.0
2015-12-13,436.49,436.06,435.67,435.9,90007.78
2015-12-12,433.3,433.63,433.45,433.56,247017.35
2015-12-11,432.19,449.26,449.09,449.19,176205.29
2015-12-10,416.74,417.06,416.66,416.8,75158.13
2015-12-09,418.08,417.66,417.42,417.65,160383.94
2015-12-08,397.01,397.99,397.88,398.01,57932.28
2015-12-07,394.44,396.76,396.54,396.66,102519.55
2015-12-06,394.26,395.58,395.21,395.53,147247.78
2015-12-05,374.84,390.94,390.83,390.99,106868.51
2015-12-04,361.51,363.45,363.21,363.5,60262.34
2015-12-03,363.13,362.01,361.76,361.96,88810.64
2015-12-02,356.78,360.84,360.48,360.77,97504.92
2015-12-01,368.9,364.34,364.09,364.2,119992.39
2015-11-30,376.76,378.93,378.52,378.64,137466.11
2015-11-29,362.06,373.71,373.51,373.67,64868.59
2015-11-28,356.55,356.1,355.88,356.06,60678.44
2015-11-27,355.91,360.81,360.51,360.6,112829.07
2015-11-26,342.51,350.97,350.73,350.88,213702.58
2015-11-25,324.1,327.73,327.55,327.66,77479.39
